Address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"673 MDG 5955 Zeamer Ave, JBER, AK, 99506",61.257409,-149.804165,0.33,place,,,"Elmendorf Afb",AK,"Anchorage Municipality",99506,US,"TIGER/Line® dataset from the US Census Bureau"
"1500 E. WOODROW WILSON DRIVE, JACKSON, MS, 39216",32.328255,-90.168455,1,rooftop,1500,"E Woodrow Wilson Ave",Jackson,MS,"Hinds County",39216,US,Hinds
"400 VETERANS AVENUE, BILOXI, MS, 39531",30.414247,-88.947231,1,range_interpolation,400,"Veterans Ave",Biloxi,MS,"Harrison County",39531,US,"TIGER/Line® dataset from the US Census Bureau"
"915 NORTH GRAND, ST. LOUIS, MO, 63106",38.642581,-90.231562,0.9,rooftop,915,"N Grand Blvd","Saint Louis",MO,"St. Louis city",63108,US,"City of St Louis"
"4801 LINWOOD BLVD., KANSAS CITY, MO, 64128",39.067104,-94.527525,1,range_interpolation,4801,"Linwood Blvd","Kansas City",MO,"Jackson County",64128,US,"TIGER/Line® dataset from the US Census Bureau"
"1500 N. WESTWOOD BLVD., POPLAR BLUFF, MO, 63901",36.771517,-90.417831,1,range_interpolation,1500,"N Westwood Blvd","Poplar Bluff",MO,"Butler County",63901,US,"TIGER/Line® dataset from the US Census Bureau"
"126 Missouri Avenue, Fort Leonard Wood, MO, 65473",37.767546,-92.116358,1,range_interpolation,126,"Missouri Ave","Fort Leonard Wood",MO,"Pulaski County",65473,US,"TIGER/Line® dataset from the US Census Bureau"
"800 HOSPITAL DR, COLUMBIA, MO, 65201",38.937274,-92.328882,1,rooftop,800,"Hospital Dr",Columbia,MO,"Boone County",65201,US,Boone
"3687 VETERANS DRIVE, FORT HARRISON, MT, 59636",46.61777,-112.101605,1,rooftop,3687,"Veterans Dr","Fort Harrison",MT,"Lewis and Clark County",59636,US,Helena
"4101 WOOLWORTH AVENUE, OMAHA, NE, 68105",41.242962,-95.974274,1,rooftop,4101,"Woolworth Ave",Omaha,NE,"Douglas County",68105,US,Douglas
"975 KIRMAN AVENUE, RENO, NV, 89502",39.516316,-119.799037,1,rooftop,975,"Kirman Ave",Reno,NV,"Washoe County",89502,US,Washoe
"6900 NORTH PECOS ROAD, N. LAS VEGAS, NV, 89086",36.285829,-115.094063,1,rooftop,6900,"N Pecos Rd","North Las Vegas",NV,"Clark County",89086,US,"Las Vegas"
"385 TREMONT AVENUE, EAST ORANGE, NJ, 7018",40.753899,-74.233858,1,range_interpolation,385,"Tremont Ave","East Orange",NJ,"Essex County",07018,US,"TIGER/Line® dataset from the US Census Bureau"
"1501 SAN PEDRO DRIVE SE, ALBUQUERQUE, NM, 87108",35.057426,-106.585815,1,rooftop,1501,"San Pedro Dr SE",Albuquerque,NM,"Bernalillo County",87108,US,Albuquerque
"3350 LA JOLLA VILLAGE DRIVE, SAN DIEGO, CA, 92161",32.875206,-117.231684,1,rooftop,3350,"La Jolla Village Dr","San Diego",CA,"San Diego County",92161,US,"San Diego Geographic Information Source - JPA"
"113 HOLLAND AVENUE, ALBANY, NY, 12208",42.649409,-73.774428,0.9,range_interpolation,113,"Holland Ave",Albany,NY,"Albany County",12208,US,"TIGER/Line® dataset from the US Census Bureau"
"Fort Carson MEDDAC 1650 Cochrane Circle Fort Carson, Fort Carson, CO, 80913",38.737494,-104.788862,0.8,place,,,"Fort Carson",CO,"El Paso County",80913,US,"TIGER/Line® dataset from the US Census Bureau"
"3495 BAILEY AVENUE, BUFFALO, NY, 14215",42.951215,-78.813595,0.9,rooftop,3495,"Bailey Ave",Buffalo,NY,"Erie County",14226,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"79 MIDDLEVILLE ROAD, NORTHPORT, NY, 11768",40.898828,-73.313903,1,rooftop,79,"Middleville Rd",Northport,NY,"Suffolk County",11768,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"41 CASTLE POINT ROAD, WAPPINGERS FALLS, NY, 12590",41.539916,-73.959812,1,range_interpolation,41,"Castle Point Rd","Wappingers Falls",NY,"Dutchess County",12590,US,"TIGER/Line® dataset from the US Census Bureau"
"800 POLY PLACE, BROOKLYN, NY, 11209",40.608591,-74.023897,1,rooftop,800,"Poly Pl",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"130 WEST KINGSBRIDGE ROAD, BRONX, NY, 10468",40.868671,-73.904997,1,rooftop,130,"W Kingsbridge Rd",Bronx,NY,"Bronx County",10468,US,"City of New York"
"423 EAST 23RD STREET, NEW YORK, NY, 10010",40.736811,-73.977202,1,rooftop,423,"E 23rd St","New York",NY,"New York County",10010,US,"City of New York"
"76 VETERANS AVE., BATH, NY, 14810",42.343769,-77.347305,1,rooftop,76,"Veterans Ave",Bath,NY,"Steuben County",14810,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"2094 ALBANY POST ROAD, MONTROSE, NY, 10548",41.244663,-73.926263,1,rooftop,2094,"Albany Post Rd",Montrose,NY,"Westchester County",10548,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"800 IRVING AVE., SYRACUSE, NY, 13210",43.038606,-76.139007,1,rooftop,800,"Irving Ave",Syracuse,NY,"Onondaga County",13210,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"900 Washington Rd, West Point, NY, 10996",41.401878,-73.977085,1,rooftop,900,"Washington Rd","West Point",NY,"Orange County",10996,US,Orange
"100 Brewster Boulevard, Camp Lejeune, NC, 28547",34.717826,-77.34242,1,range_interpolation,100,"Brewster Blvd","Camp Lejeune",NC,"Onslow County",28547,US,"TIGER/Line® dataset from the US Census Bureau"
"96 MDG 307 Boatner Rd Suite 114, Eglin AFB, FL, 32542",30.45907,-86.55026,0.33,place,,,"Eglin Afb",FL,"Okaloosa County",32542,US,"TIGER/Line® dataset from the US Census Bureau"
"2817 Reilly Road, Fort Bragg, NC, 28307",35.124317,-78.994656,0.8,range_interpolation,2817,"Reilly St","Fort Bragg",NC,"Cumberland County",28310,US,"TIGER/Line® dataset from the US Census Bureau"
"1601 BRENNER AVENUE, SALISBURY, NC, 28144",35.682691,-80.487037,1,rooftop,1601,"Brenner Ave",Salisbury,NC,"Rowan County",28144,US,Rowan
"2300 RAMSEY STREET, FAYETTEVILLE, NC, 28301",35.088003,-78.876744,1,rooftop,2300,"Ramsey St",Fayetteville,NC,"Cumberland County",28301,US,Cumberland
"508 FULTON STREET, DURHAM, NC, 27705",36.009501,-78.939454,1,rooftop,508,"Fulton St",Durham,NC,"Durham County",27705,US,Durham
"1100 TUNNEL ROAD, ASHEVILLE, NC, 28805",35.587486,-82.485541,1,rooftop,1100,"Tunnel Rd",Asheville,NC,"Buncombe County",28805,US,Buncombe
"2101 ELM STREET, FARGO, ND, 58102",46.90609,-96.775037,0.9,rooftop,2101,"Elm St N",Fargo,ND,"Cass County",58102,US,"City of Fargo"
"10701 EAST BLVD, CLEVELAND, OH, 44106",41.512718,-81.613442,1,range_interpolation,10701,"East Blvd",Cleveland,OH,"Cuyahoga County",44106,US,"TIGER/Line® dataset from the US Census Bureau"
"3200 VINE STREET, CINCINNATI, OH, 45220",39.138193,-84.509221,0.9,rooftop,3200,"Vine St",Cincinnati,OH,"Hamilton County",45219,US,Hamilton
"4100 WEST THIRD STREET, DAYTON, OH, 45428",39.748943,-84.253844,0.8,nearest_rooftop_match,4118,"W 3rd St",Dayton,OH,"Montgomery County",45428,US,Montgomery
"17273 STATE ROUTE 104, CHILLICOTHE, OH, 45601",39.385803,-83.020778,0.9,rooftop,17273,Sr-104,Chillicothe,OH,"Ross County",45601,US,Ross
"921 NE 13TH STREET, OKLAHOMA CITY, OK, 73104",35.483235,-97.495685,1,rooftop,921,"NE 13","Oklahoma City",OK,"Oklahoma County",73104,US,"Oklahoma and Logan Counties - Association of Central Oklahoma Governments"
"1011 HONOR HEIGHTS DRIVE, MUSKOGEE, OK, 74401",35.765267,-95.414299,1,rooftop,1011,"Honor Heights Dr",Muskogee,OK,"Muskogee County",74401,US,"City of Muskogee"
"3710 SW US VETERANS HOSPITAL, PORTLAND, OR, 97239",45.498811,-122.685654,1,rooftop,3710,"SW Us Veterans Hospital Rd",Portland,OR,"Multnomah County",97239,US,Portland
"913 NW GARDEN VALLEY BLVD., ROSEBURG, OR, 97471",43.229033,-123.367878,0.9,range_interpolation,913,"NW Garden Valley Blvd",Roseburg,OR,"Douglas County",97471,US,"TIGER/Line® dataset from the US Census Bureau"
"135 EAST 38TH STREET, ERIE, PA, 16504",42.102124,-80.063043,1,rooftop,135,"E 38th St",Erie,PA,"Erie County",16504,US,Erie
"1400 BLACK HORSE HILL ROAD, COATESVILLE, PA, 19320",39.998094,-75.796315,1,rooftop,1400,"Blackhorse Hill Rd",Coatesville,PA,"Chester County",19320,US,Chester
"1700 SOUTH LINCOLN AVENUE, LEBANON, PA, 17042",40.317212,-76.398406,1,rooftop,1700,"S Lincoln Ave",Lebanon,PA,"Lebanon County",17042,US,Dauphin
"2907 PLEASANT VALLEY BOULEVARD, ALTOONA, PA, 16602",40.489084,-78.395943,1,rooftop,2907,"Pleasant Valley Blvd",Altoona,PA,"Blair County",16602,US,Blair
"1111 EAST END BOULEVARD, WILKES-BARRE, PA, 18711",41.249173,-75.833691,0.9,range_interpolation,1111,"E End Blvd",Wilkes-Barre,PA,"Luzerne County",18702,US,"TIGER/Line® dataset from the US Census Bureau"
"3900 WOODLAND AVENUE, PHILADELPHIA, PA, 19104",39.946801,-75.203051,1,rooftop,3900,"Woodland Ave",Philadelphia,PA,"Philadelphia County",19104,US,Philadelphia
"10 CALLE CASIA, SAN JUAN, PR, 921",18.433572,-66.039112,0.8,range_interpolation,10,"Calle E","San Juan",PR,"San Juan Municipio",00915,US,"TIGER/Line® dataset from the US Census Bureau"
"830 CHALKSTONE AVENUE, PROVIDENCE, RI, 2908",41.832243,-71.432222,1,rooftop,830,"Chalkstone Ave",Providence,RI,"Providence County",02908,US,Providence
"6439 GARNERS FERRY ROAD, COLUMBIA, SC, 29209",33.979947,-80.961988,1,range_interpolation,6439,"Garners Ferry Rd",Columbia,SC,"Richland County",29209,US,"TIGER/Line® dataset from the US Census Bureau"
"109 BEE STREET, CHARLESTON, SC, 29401",32.784468,-79.954142,1,rooftop,109,"Bee St",Charleston,SC,"Charleston County",29401,US,"City of Charleston"
"5500 E. KELLOG, WICHITA, KS, 67218",37.679905,-97.276564,0.9,range_interpolation,5500,"E Kellogg Dr N",Wichita,KS,"Sedgwick County",67218,US,"TIGER/Line® dataset from the US Census Bureau"
"113 COMANCHE ROAD, FORT MEADE, SD, 57741",44.412131,-103.467664,1,range_interpolation,113,"Comanche Rd","Fort Meade",SD,"Meade County",57741,US,"TIGER/Line® dataset from the US Census Bureau"
