Hospital_Name,Provider ID,State,FISCAL_YEAR,DOMAIN_1_SCORE,DOMAIN_1_FOOTNOTE,DOMAIN_1_START_DATE,DOMAIN_1_END_DATE,PSI_90_W_Z_Score,PSI_90_FOOTNOTE,DOMAIN_2_SCORE,DOMAIN_2_FOOTNOTE,CLABSI_W_Z_SCORE,CLABSI_FOOTNOTE,CAUTI_W_Z_SCORE,CAUTI_FOOTNOTE,SSI_W_Z_SCORE,SSI_FOOTNOTE,MRSA_W_Z_SCORE,MRSA_FOOTNOTE,CDI_W_Z_SCORE,CDI_FOOTNOTE,DOMAIN_2_START_DATE,DOMAIN_2_END_DATE,TOTAL_HAC_SCORE,TOTAL_HAC_FOOTNOTE,PAYMENT_REDUCTION,PAYMENT_REDUCTION_FOOTNOTE
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,2019,-0.6505,,10/01/2015,06/30/2017,-0.6505,,-0.1112,,0.4992,,0.2434,,-0.9737,,0.5608,,-0.8858,,01/01/2016,12/31/2017,-0.1921,,No,
MARSHALL MEDICAL CENTER SOUTH,010005,AL,2019,1.079,,10/01/2015,06/30/2017,1.079,,-0.137,,-0.3761,,0.0201,,-0.1626,,0.8634,,-1.0295,,01/01/2016,12/31/2017,0.0454,,No,
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,2019,-0.1718,,10/01/2015,06/30/2017,-0.1718,,0.1553,,0.4309,,0.6987,,-0.5737,,1.1477,,-0.9273,,01/01/2016,12/31/2017,0.1062,,No,
MIZELL MEMORIAL HOSPITAL,010007,AL,2019,0.4116,,10/01/2015,06/30/2017,0.4116,,-1.7225,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.4024,,No,
CRENSHAW COMMUNITY HOSPITAL,010008,AL,2019,-0.0101,,10/01/2015,06/30/2017,-0.0101,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0101,,No,
ST VINCENT'S EAST,010011,AL,2019,1.563,,10/01/2015,06/30/2017,1.563,,-0.2052,,0.8445,,0.226,,-0.6049,,-0.6832,,-0.8085,,01/01/2016,12/31/2017,0.06,,No,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,2019,-0.4482,,10/01/2015,06/30/2017,-0.4482,,-1.4138,,-1.4878,,-1.5202,,Not Available,5 - Results are not available for this reporting period.,-1.4406,,-1.2064,,01/01/2016,12/31/2017,-1.2689,,No,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,2019,0.8957,,10/01/2015,06/30/2017,0.8957,,-0.5488,,-0.04,,-0.3706,,-1.3462,,-0.618,,-0.3692,,01/01/2016,12/31/2017,-0.3321,,No,
CALLAHAN EYE HOSPITAL,010018,AL,2019,-0.1238,,10/01/2015,06/30/2017,-0.1238,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.1238,,No,
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,2019,-0.4339,,10/01/2015,06/30/2017,-0.4339,,0.3349,,1.694,,-0.6306,,0.1438,,1.4804,,-1.0129,,01/01/2016,12/31/2017,0.2196,,No,
