Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Care Domain Score,Weighted Normalized Clinical Care Domain Score,Unweighted Person and Community Engagement Domain Score,Weighted Person and Community Engagement Domain Score,Unweighted Normalized Safety Domain Score,Weighted Safety Domain Score,Unweighted Normalized Efficiency and Cost Reduction Domain Score,Weighted Efficiency and Cost Reduction Domain Score,Total Performance Score,Location
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,Marshall,27.500000000000,6.875000000000,42.000000000000,10.500000000000,21.666666666667,5.416666666667,0.000000000000,0.000000000000,22.791666666667,"2505 U S HIGHWAY 431 NORTH BOAZ, AL 35957"
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DeKalb,16.666666666667,4.166666666667,18.000000000000,4.500000000000,66.666666666667,16.666666666667,0.000000000000,0.000000000000,25.333333333333,"200 MED CENTER DRIVE FORT PAYNE, AL 35968"
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,Madison,47.500000000000,11.875000000000,21.000000000000,5.250000000000,41.666666666667,10.416666666667,10.000000000000,2.500000000000,30.041666666667,"ONE HOSPITAL DR SE HUNTSVILLE, AL 35801"
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,Bethel,50.000000000000,16.666666666667,22.000000000000,7.333333333333,Not Available,Not Available,100.000000000000,33.333333333333,57.333333333333,"PO BOX 287 BETHEL, AK 99559"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,Apache,30.000000000000,7.500000000000,16.000000000000,4.000000000000,80.000000000000,20.000000000000,100.000000000000,25.000000000000,56.5,"PO BOX 649 FORT DEFIANCE, AZ 86504"
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,Coconino,40.000000000000,10.000000000000,37.000000000000,9.250000000000,40.000000000000,10.000000000000,90.000000000000,22.500000000000,51.75,"PO BOX 600 TUBA CITY, AZ 86045"
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,Apache,50.000000000000,12.500000000000,39.000000000000,9.750000000000,20.000000000000,5.000000000000,100.000000000000,25.000000000000,52.25,"US HWY 191, HOSPITAL ROAD CHINLE, AZ 86503"
040007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,Pulaski,52.500000000000,13.125000000000,17.000000000000,4.250000000000,20.000000000000,5.000000000000,0.000000000000,0.000000000000,22.375,"TWO ST VINCENT CIRCLE LITTLE ROCK, AR 72205"
040050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,Ouachita,43.333333333333,10.833333333333,38.000000000000,9.500000000000,100.000000000000,25.000000000000,0.000000000000,0.000000000000,45.333333333333,"638 CALIFORNIA AVENUE CAMDEN, AR 71701"
040154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,1555 EXCHANGE AVENUE,CONWAY,AR,72032,Faulkner,45.000000000000,15.000000000000,74.000000000000,24.666666666667,Not Available,Not Available,30.000000000000,10.000000000000,49.666666666667,"1555 EXCHANGE AVENUE CONWAY, AR 72032"
