Provider ID,Hospital name,State,ZIP Code,Latitude,Longitude
010001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,36301,31.214058,-85.361725
010005,MARSHALL MEDICAL CENTER SOUTH,AL,35957,34.22056,-86.159217
010006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,35631,34.79366,-87.684348
010007,MIZELL MEMORIAL HOSPITAL,AL,36467,31.291972,-86.255415
010008,CRENSHAW COMMUNITY HOSPITAL,AL,36049,31.692595,-86.266156
010011,ST VINCENT'S EAST,AL,35235,33.595351,-86.665182
010012,DEKALB REGIONAL MEDICAL CENTER,AL,35968,34.551152,-85.738662
010016,SHELBY BAPTIST MEDICAL CENTER,AL,35007,33.253679,-86.814261
010018,CALLAHAN EYE HOSPITAL,AL,35233,33.503137,-86.802401
010019,HELEN KELLER MEMORIAL HOSPITAL,AL,35660,34.748249,-87.698866
010021,DALE MEDICAL CENTER,AL,36360,31.451345,-85.630966
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,35960,34.162761,-85.65142
010023,BAPTIST MEDICAL CENTER SOUTH,AL,36116,32.327144,-86.276764
010024,JACKSON HOSPITAL & CLINIC INC,AL,36106,32.366606,-86.285155
010029,EAST ALABAMA MEDICAL CENTER,AL,36801,32.638055,-85.404003
010032,TANNER MEDICAL CENTER-EAST ALABAMA,AL,36278,33.296666,-85.480028
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,35233,33.506129,-86.801922
010034,COMMUNITY HOSPITAL INC,AL,36078,32.535293,-85.911996
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,35058,34.198587,-86.805641
010036,ANDALUSIA HEALTH,AL,36420,31.297462,-86.495599
010038,STRINGFELLOW MEMORIAL HOSPITAL,AL,36201,33.667701,-85.825025
010039,HUNTSVILLE HOSPITAL,AL,35801,34.721226,-86.581547
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,35903,34.009389,-85.96752
010044,MARION REGIONAL MEDICAL CENTER,AL,35570,34.125852,-87.989806
010045,FAYETTE MEDICAL CENTER,AL,35555,33.707708,-87.823706
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,35901,34.003811,-86.004086
010047,GEORGIANA MEDICAL CENTER,AL,36033,31.636334,-86.742751
010049,MEDICAL CENTER ENTERPRISE,AL,36330,31.318191,-85.855308
010051,GREENE COUNTY HOSPITAL,AL,35462,32.844744,-87.889307
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,36853,32.8187,-85.741758
010055,FLOWERS HOSPITAL,AL,36305,31.235991,-85.457937
010056,ST VINCENT'S BIRMINGHAM,AL,35205,33.508015,-86.788755
010058,BIBB MEDICAL CENTER,AL,35042,32.951101,-87.147865
010059,LAWRENCE MEDICAL CENTER,AL,35650,34.482884,-87.286019
010061,HIGHLANDS MEDICAL CENTER,AL,35768,34.661254,-86.047116
010062,WIREGRASS MEDICAL CENTER,AL,36340,31.048063,-85.890837
010065,RUSSELL MEDICAL CENTER,AL,35010,32.93103,-85.968394
010069,MEDICAL CENTER BARBOUR,AL,36027,31.88798,-85.156613
010073,CLAY COUNTY HOSPITAL,AL,36251,33.276548,-85.823789
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,36207,33.657123,-85.823353
010079,ATHENS LIMESTONE HOSPITAL,AL,35611,34.803499,-86.977803
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,36535,30.426109,-87.683187
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,AL,35601,34.591168,-86.972621
010086,NORTHWEST MEDICAL CENTER,AL,35594,33.929316,-87.824507
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,AL,36617,30.708121,-88.099441
010089,WALKER BAPTIST MEDICAL CENTER,AL,35502,33.841142,-87.236879
