Provider ID,Hospital name,State,ZIP Code,Latitude,Longitude,Review Score,Hip and Knee Replacement Score,Hip and Knee Replacement Lower,Hip and Knee Replacement Upper,Heart Failure Death Score,Heart Failure Death Lower,Heart Failure Death Upper,Blood clots post surgery Score,Blood clots post surgery Lower,Blood clots post surgery Upper,Heart Attack Death Score,Heart Attack Death Lower,Heart Attack Death Upper,Post surgery Sepsis Score,Post surgery Sepsis Lower,Post surgery Sepsis Upper,Postop Respiratory Failure Score,Postop Respiratory Failure Lower,Postop Respiratory Failure Upper,Postop Dialysis need Score,Postop Dialysis need Lower,Postop Dialysis need Upper,Surgical Complication Deaths Score,Surgical Complication Deaths Lower,Surgical Complication Deaths Upper,Pneumonia death Score,Pneumonia death Lower,Pneumonia death Upper,Stroke death Score,Stroke death Lower,Stroke death Upper,Num_OB/GYN,Num_Ortho,Num_Pediatric,Num_Addiction,Num_Prev_Care,Num_Assist
010001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,36301,31.214058,-85.361725,,3.0,2.0,4.6,12.5,10.5,14.7,5.57,3.93,7.21,14.5,12.3,17.1,4.45,1.8,7.1,6.02,1.86,10.17,0.65,0,1.68,161.31,123.47,199.15,16.2,13.7,19.2,13.7,11.5,16.5,14,33,7,0,28,102
010005,MARSHALL MEDICAL CENTER SOUTH,AL,35957,34.22056,-86.159217,94.0,3.0,2.0,4.5,15.3,12.3,19.0,3.17,0.81,5.53,15.5,12.0,19.7,5.20,1.72,8.67,12.17,5.95,18.39,1.10,0,2.45,181.81,135.73,227.9,20.8,18.2,23.8,15.7,12.4,19.6,15,27,0,0,60,52
010006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,35631,34.793659999999996,-87.684348,,3.6,2.4,5.2,13.2,11.1,15.6,3.31,1.32,5.29,14.9,12.3,17.9,4.95,1.07,8.82,7.19,0,15.23,1.28,0,2.73,181.42,141.18,221.67,17.2,14.9,19.7,17.2,14.2,20.7,12,16,0,2,27,80
010007,MIZELL MEMORIAL HOSPITAL,AL,36467,31.291971999999998,-86.255415,,2.8,1.5,4.9,13.3,9.1,18.6,4.76,1.87,7.64,Not Available,Not Available,Not Available,5.11,1.17,9.05,9.46,1.37,17.55,1.30,0,2.76,Not Available,Not Available,Not Available,21.6,17.0,26.7,15.9,11.7,21.4,4,1,0,0,17,16
010008,CRENSHAW COMMUNITY HOSPITAL,AL,36049,31.692595,-86.26615600000002,95.0,,Not Available,Not Available,12.9,8.8,18.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.7,11.7,21.1,Not Available,Not Available,Not Available,0,1,0,0,4,0
010011,ST VINCENT'S EAST,AL,35235,33.595351,-86.665182,,2.6,1.6,4.3,13.1,10.7,16.0,4.53,2.45,6.62,14.1,11.2,17.5,5.57,2.47,8.66,15.22,9.79,20.64,1.74,0.54,2.94,191.56,153.77,229.35,16.1,13.6,19.0,12.4,9.5,16.2,1,15,2,0,40,66
010012,DEKALB REGIONAL MEDICAL CENTER,AL,35968,34.551152,-85.738662,,,Not Available,Not Available,13.8,10.1,18.6,3.39,0.59,6.18,16,12.4,20.2,5.47,1.67,9.26,7.69,0.42,14.96,1.26,0,2.7,Not Available,Not Available,Not Available,21.9,18.2,26.0,15.1,11.5,19.8,4,8,0,0,24,12
010016,SHELBY BAPTIST MEDICAL CENTER,AL,35007,33.253679,-86.814261,,2.2,1.4,3.9,13.2,10.6,16.2,3.35,1.27,5.43,16,12.9,19.7,7.55,4.55,10.55,7.87,2.9,12.83,2.11,0.89,3.33,156.58,112.28,200.89,16.4,13.4,19.7,13.9,10.7,17.7,10,9,0,0,18,39
010018,CALLAHAN EYE HOSPITAL,AL,35233,33.503137,-86.802401,,,Not Available,Not Available,Not Available,Not Available,Not Available,3.77,0.83,6.72,Not Available,Not Available,Not Available,5.12,1.18,9.06,7.46,0,15.65,1.31,0,2.78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,0,0,29
010019,HELEN KELLER MEMORIAL HOSPITAL,AL,35660,34.748249,-87.69886600000002,93.0,2.1,1.3,3.2,13.9,11.0,17.3,2.94,0.52,5.36,14.1,10.7,18.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16.2,13.2,19.7,15.7,12.0,20.5,5,11,0,0,31,41
010021,DALE MEDICAL CENTER,AL,36360,31.451345,-85.630966,97.0,,Not Available,Not Available,12.7,9.4,16.8,4.16,1.28,7.04,Not Available,Not Available,Not Available,5.78,2.13,9.43,15.15,8.66,21.64,1.23,0,2.66,Not Available,Not Available,Not Available,14.1,11.0,17.7,Not Available,Not Available,Not Available,2,0,0,0,23,10
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,35960,34.162760999999996,-85.65142,,,Not Available,Not Available,12.6,8.4,18.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17.3,12.7,22.7,Not Available,Not Available,Not Available,0,0,0,0,10,9
010023,BAPTIST MEDICAL CENTER SOUTH,AL,36116,32.327144,-86.276764,,2.5,1.7,3.6,12.7,10.5,15.4,4.42,2.63,6.20,13.1,10.6,15.9,2.90,0,5.87,7.90,3.34,12.46,0.89,0,2.1,192.09,154.11,230.07,18.5,15.3,22.5,14.7,11.9,17.9,29,22,0,3,92,129
010024,JACKSON HOSPITAL & CLINIC INC,AL,36106,32.366606,-86.285155,,2.0,1.2,3.2,13.2,10.8,15.9,3.20,1.25,5.15,14,11.5,17.1,4.38,1.52,7.25,9.52,4.75,14.29,0.75,0,1.85,197.44,154.09,240.8,18.6,16.1,21.2,11.5,9.1,14.4,8,1,0,0,20,50
010029,EAST ALABAMA MEDICAL CENTER,AL,36801,32.638055,-85.404003,,3.0,2.1,4.2,13,10.6,15.5,3.30,1.46,5.13,17.4,14.2,20.9,4.24,1.27,7.2,8.84,3.81,13.88,1.09,0,2.25,184.82,144.66,224.99,16.9,14.4,19.7,15.4,12.6,18.5,12,30,2,0,39,42
010032,TANNER MEDICAL CENTER-EAST ALABAMA,AL,36278,33.296665999999995,-85.480028,,,Not Available,Not Available,12.3,8.4,17.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16.9,12.0,22.9,Not Available,Not Available,Not Available,0,0,0,0,9,14
