Provider ID,Hospital Name,Measure ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Respiratory,Other,Footnote,Measure Start Date,Measure End Date
010001,SOUTHEAST ALABAMA MEDICAL CENTER,OP-26,2327,305,317,1384,55,921,23,0,2,,01/01/2017,12/31/2017
010005,MARSHALL MEDICAL CENTER SOUTH,OP-26,4977,125,3,618,204,381,3,70,53,,01/01/2017,12/31/2017
010006,ELIZA COFFEE MEMORIAL HOSPITAL,OP-26,4992,0,80,189,3330,383,231,86,57,,01/01/2017,12/31/2017
010007,MIZELL MEMORIAL HOSPITAL,OP-26,168,203,0,174,0,91,0,5,705,,01/01/2017,12/31/2017
010008,CRENSHAW COMMUNITY HOSPITAL,OP-26,206,0,0,1,7,5,0,0,0,,01/01/2017,12/31/2017
010011,ST VINCENT'S EAST,OP-26,1344,0,27,309,169,252,221,83,35,,01/01/2017,12/31/2017
010012,DEKALB REGIONAL MEDICAL CENTER,OP-26,853,3,1,101,483,45,132,72,16,,01/01/2017,12/31/2017
010016,SHELBY BAPTIST MEDICAL CENTER,OP-26,592,0,47,665,2144,555,900,97,58,,01/01/2017,12/31/2017
010018,CALLAHAN EYE HOSPITAL,OP-26,0,6123,0,0,206,0,0,0,0,,01/01/2017,12/31/2017
010019,HELEN KELLER MEMORIAL HOSPITAL,OP-26,3992,834,97,164,55,537,264,21,18,,01/01/2017,12/31/2017
010021,DALE MEDICAL CENTER,OP-26,599,0,0,34,109,0,11,9,6,,01/01/2017,12/31/2017
010022,FLOYD CHEROKEE MEDICAL CENTER,OP-26,311,173,0,1,68,0,0,0,1,,01/01/2017,12/31/2017
010023,BAPTIST MEDICAL CENTER SOUTH,OP-26,1901,45,196,74,2584,297,1130,145,181,,01/01/2017,12/31/2017
010024,JACKSON HOSPITAL & CLINIC INC,OP-26,1011,6,433,539,102,1414,284,33,28,,01/01/2017,12/31/2017
010029,EAST ALABAMA MEDICAL CENTER,OP-26,7222,1480,202,1475,387,989,757,202,99,,01/01/2017,12/31/2017
010032,TANNER MEDICAL CENTER-EAST ALABAMA,OP-26,86,0,0,0,8,3,0,0,0,,01/01/2017,12/31/2017
010033,UNIVERSITY OF ALABAMA HOSPITAL,OP-26,8914,0,286,937,13825,3553,2332,8371,535,,01/01/2017,12/31/2017
010034,COMMUNITY HOSPITAL INC,OP-26,1153,55,0,18,14,14,0,0,1,,01/01/2017,12/31/2017
010035,CULLMAN REGIONAL MEDICAL CENTER,OP-26,1934,1369,560,985,1682,153,89,49,9,,01/01/2017,12/31/2017
010036,ANDALUSIA HEALTH,OP-26,617,115,0,146,83,143,78,42,7,,01/01/2017,12/31/2017
010038,STRINGFELLOW MEMORIAL HOSPITAL,OP-26,1879,125,0,326,27,100,91,16,7,,01/01/2017,12/31/2017
010039,HUNTSVILLE HOSPITAL,OP-26,11922,213,823,3097,2180,2043,210,582,388,,01/01/2017,12/31/2017
010040,GADSDEN REGIONAL MEDICAL CENTER,OP-26,3565,0,121,1611,573,613,322,50,44,,01/01/2017,12/31/2017
010044,MARION REGIONAL MEDICAL CENTER,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010045,FAYETTE MEDICAL CENTER,OP-26,713,203,0,16,35,14,0,0,5,,01/01/2017,12/31/2017
010046,RIVERVIEW REGIONAL MEDICAL CENTER,OP-26,3452,0,52,335,1888,94,193,143,18,,01/01/2017,12/31/2017
010047,GEORGIANA MEDICAL CENTER,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010049,MEDICAL CENTER ENTERPRISE,OP-26,1677,45,0,315,151,61,0,2,26,,01/01/2017,12/31/2017
010051,GREENE COUNTY HOSPITAL,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010052,LAKE MARTIN COMMUNITY HOSPITAL,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010055,FLOWERS HOSPITAL,OP-26,3667,0,576,614,3976,993,178,282,140,,01/01/2017,12/31/2017
010056,ST VINCENT'S BIRMINGHAM,OP-26,8816,253,995,3964,582,1255,280,179,276,,01/01/2017,12/31/2017
010058,BIBB MEDICAL CENTER,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010059,LAWRENCE MEDICAL CENTER,OP-26,297,0,0,0,61,0,0,0,2,,01/01/2017,12/31/2017
010061,HIGHLANDS MEDICAL CENTER,OP-26,1534,0,0,157,126,208,0,4,16,,01/01/2017,12/31/2017
010062,WIREGRASS MEDICAL CENTER,OP-26,709,0,0,17,349,26,0,3,137,,01/01/2017,12/31/2017
010065,RUSSELL MEDICAL CENTER,OP-26,905,53,8,230,68,472,83,28,15,,01/01/2017,12/31/2017
010069,MEDICAL CENTER BARBOUR,OP-26,486,1,2,10,54,38,0,140,135,,01/01/2017,12/31/2017
010073,CLAY COUNTY HOSPITAL,OP-26,268,136,0,5,2,0,0,0,0,,01/01/2017,12/31/2017
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,OP-26,6423,373,311,145,1581,837,927,424,75,,01/01/2017,12/31/2017
010079,ATHENS LIMESTONE HOSPITAL,OP-26,1223,317,16,562,147,288,27,24,35,,01/01/2017,12/31/2017
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,OP-26,4291,312,17,916,2633,331,35,99,35,,01/01/2017,12/31/2017
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,OP-26,980,0,26,237,302,585,101,34,75,,01/01/2017,12/31/2017
010086,NORTHWEST MEDICAL CENTER,OP-26,534,371,0,47,105,2,5,0,10,,01/01/2017,12/31/2017
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,OP-26,1921,2,8,286,442,1,60,33,58,,01/01/2017,12/31/2017
010089,WALKER BAPTIST MEDICAL CENTER,OP-26,2994,1046,7,736,57,503,14,64,17,,01/01/2017,12/31/2017
010090,PROVIDENCE HOSPITAL,OP-26,7181,1371,158,104,231,625,76,32,93,,01/01/2017,12/31/2017
010091,GROVE HILL MEMORIAL HOSPITAL,OP-26,880,0,0,0,6,0,0,0,1,,01/01/2017,12/31/2017
010092,D C H REGIONAL MEDICAL CENTER,OP-26,2273,73,421,1507,2644,1280,1543,334,166,,01/01/2017,12/31/2017
010095,HALE COUNTY HOSPITAL,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010097,ELMORE COMMUNITY HOSPITAL,OP-26,286,89,0,82,36,5,0,21,0,,01/01/2017,12/31/2017
010099,D W MCMILLAN MEMORIAL HOSPITAL,OP-26,320,0,0,8,226,15,0,5,16,,01/01/2017,12/31/2017
010100,THOMAS HOSPITAL,OP-26,5486,249,65,1616,116,753,38,64,93,,01/01/2017,12/31/2017
