 CMS Certification Number,Facility Name,Address,City,County,State,Zip,Telephone,Patients who reported that staff definitely gave care in a professional way and the facility was clean,Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean,Patients who reported that staff did not give care in a professional way or the facility was not clean,Facilities and staff linear mean score,Patients who reported that staff definitely communicated about what to expect during and after the procedure,Patients who reported that staff somewhat communicated about what to expect during and after the procedure,Patients who reported that staff did not communicate about what to expect during and after the procedure,Communication about your procedure linear mean score,Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest),Patients’ rating of the facility linear mean score,Patients who reported YES they would DEFINITELY recommend the facility to family or friends,Patients who reported PROBABLY YES they would recommend the facility to family or friends,"Patients who reported NO, they would not recommend the facility to family or friends",Patients recommending the facility linear mean score,Footnote,Number of Sampled Patients,Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date
10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,MARSHALL,AL,35957,2565938310,96,3,1,98,92,6,2,95,84,13,3,94,84,15,1,94,,5185,1753,35,10/1/2017,9/30/2018
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,COVINGTON,AL,36467,3344933541,,,,,,,,,,,,,,,,,4,,,,,
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,CRENSHAW,AL,36049,3343353374,98,2,0,99,96,4,0,98,86,11,3,94,85,13,2,95,3,186,67,37,10/1/2017,9/30/2018
10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,COLBERT,AL,35660,2563864556,96,3,1,97,87,7,6,90,84,11,5,92,88,7,5,93,2,1072,167,22,10/1/2017,9/30/2018
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,DALE,AL,36360,3347742601,98,2,0,99,94,5,1,96,88,9,3,95,91,8,1,97,,842,320,39,10/1/2017,9/30/2018
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,MONTGOMERY,AL,36116,3342882100,,,,,,,,,,,,,,,,,4,,,,,
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,LEE,AL,36801,3347493411,,,,,,,,,,,,,,,,,4,,,,,
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,JEFFERSON,AL,35233,2059344011,95,4,1,97,91,7,2,95,86,11,3,94,87,11,2,95,,2962,685,23,10/1/2017,9/30/2018
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,CULLMAN,AL,35058,2567372000,96,4,0,98,93,5,2,96,85,12,3,93,78,21,1,92,,1886,606,32,10/1/2017,9/30/2018
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,MADISON,AL,35801,2562651000,,,,,,,,,,,,,,,,,4,,,,,
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,MARION,AL,35570,2059216200,99,1,0,100,98,2,0,99,99,1,0,98,100,0,0,100,1,29,7,24,10/1/2017,9/30/2018
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,FAYETTE,AL,35555,2059325966,99,1,0,99,94,5,1,97,91,8,1,96,89,10,1,96,,1030,323,31,10/1/2017,9/30/2018
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,LAWRENCE,AL,35650,2569742200,98,2,0,99,98,2,0,99,85,15,0,95,90,7,3,95,2;3,115,32,28,10/1/2017,9/30/2018
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,JACKSON,AL,35768,2562594444,94,5,1,96,88,9,3,93,72,21,7,90,72,24,4,89,,1311,407,32,10/1/2017,9/30/2018
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,GENEVA,AL,36340,3346843655,98,2,0,99,92,7,1,95,83,14,3,93,86,12,2,95,,731,234,33,10/1/2017,9/30/2018
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,TALLAPOOSA,AL,35010,2563297100,95,4,1,97,90,8,2,94,81,15,4,92,79,18,3,92,,1766,552,32,10/1/2017,9/30/2018
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9,ASHLAND,CLAY,AL,36251,2563542131,98,2,0,99,95,4,1,97,85,12,3,94,89,10,1,96,,412,165,41,10/1/2017,9/30/2018
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,CALHOUN,AL,36207,2562355121,93,6,1,96,90,8,2,94,75,19,6,90,79,18,3,91,,1015,367,37,10/1/2017,9/30/2018
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,LIMESTONE,AL,35611,2562339292,98,2,0,99,93,6,1,96,86,13,1,94,84,15,1,94,2,977,299,31,10/1/2017,9/30/2018
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,MORGAN,AL,35601,2563412000,96,3,1,98,90,8,2,94,76,20,4,91,69,30,1,89,2,1152,268,24,10/1/2017,9/30/2018
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,TUSCALOOSA,AL,35401,2057597111,97,3,0,98,91,8,1,95,83,15,2,93,81,17,2,93,,8134,1991,24,10/1/2017,9/30/2018
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,BALDWIN,AL,36532,2519282375,97,3,0,98,92,6,2,95,84,14,2,94,91,8,1,97,,2048,645,32,10/1/2017,9/30/2018
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AUTAUGA,AL,36067,3343614267,,,,,,,,,,,,,,,,,4,,,,,
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,PICKENS,AL,35447,2053678111,96,4,0,98,86,11,3,91,83,14,3,92,71,29,0,90,3,294,78,27,10/1/2017,9/30/2018
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,MOBILE,AL,36652,2514354700,95,4,1,97,91,7,2,94,82,16,2,94,86,13,1,95,,1952,677,35,10/1/2017,9/30/2018
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,MONROE,AL,36460,2515753111,96,3,1,98,92,5,3,95,85,13,2,94,86,13,1,95,,838,311,38,10/1/2017,9/30/2018
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,PIKE,AL,36081,3346705000,95,5,0,98,92,6,2,95,75,21,4,91,75,23,2,91,,1678,523,32,10/1/2017,9/30/2018
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,BALDWIN,AL,36507,2519375521,94,5,1,97,90,7,3,93,78,17,5,92,82,15,3,93,,1870,518,29,10/1/2017,9/30/2018
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,MOBILE,AL,36608,2513449630,93,6,1,96,89,9,2,93,80,17,3,93,84,14,2,94,,1256,397,32,10/1/2017,9/30/2018
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,CONECUH,AL,36401,2515782480,93,6,1,96,88,10,2,93,75,16,9,89,77,18,5,90,3,345,96,28,10/1/2017,9/30/2018
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,MONTGOMERY,AL,36117,3342448330,,,,,,,,,,,,,,,,,4,,,,,
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,TALLADEGA,AL,35150,2562495000,95,4,1,97,90,8,2,94,78,17,5,92,81,17,2,93,,1616,581,37,10/1/2017,9/30/2018
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,RUSSELL,AL,36867,3347323000,97,2,1,98,90,8,2,94,89,8,3,95,88,10,2,95,,2338,541,23,10/1/2017,9/30/2018
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,ESCAMBIA,AL,36502,2513682500,95,4,1,97,91,7,2,94,74,21,5,91,75,21,4,90,,943,269,29,10/1/2017,9/30/2018
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,ANCHORAGE,AK,99508,9075622211,96,4,0,98,92,7,1,95,85,12,3,94,88,12,0,96,,1470,327,22,10/1/2017,9/30/2018
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,KODIAK ISLAND BOROUGH,AK,99615,9074869592,97,3,0,98,92,7,1,96,87,11,2,95,82,15,3,93,,463,112,24,10/1/2017,9/30/2018
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,PIMA,AZ,85712,5203275461,95,4,1,97,89,8,3,93,85,12,3,94,89,9,2,95,,7210,1443,21,10/1/2017,9/30/2018
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,YAVAPAI,AZ,86326,9287732357,97,3,0,98,92,7,1,95,85,12,3,93,78,20,2,92,,1771,605,34,10/1/2017,9/30/2018
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,YAVAPAI,AZ,86301,9284452700,98,2,0,99,90,8,2,94,85,12,3,94,83,15,2,93,,1434,636,45,10/1/2017,9/30/2018
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,YUMA,AZ,85364,9283367600,95,5,0,97,86,10,4,91,76,21,3,91,76,21,3,90,,1607,354,22,10/1/2017,9/30/2018
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,COCONINO,AZ,86001,9287793366,95,5,0,97,91,8,1,95,82,15,3,93,84,14,2,94,,2022,518,26,10/1/2017,9/30/2018
30037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,MARICOPA,AZ,85006,6022518156,,,,,,,,,,,,,,,,,4,,,,,
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,NAVAJO,AZ,85901,9285376399,98,2,0,99,89,10,1,94,84,16,0,94,81,18,1,93,,735,212,30,10/1/2017,9/30/2018
30107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,MARICOPA,AZ,85206,4808324770,98,2,0,99,92,6,2,95,90,8,2,95,88,11,1,95,,2402,898,37,10/1/2017,9/30/2018
30108,THE CORE INSTITUTE SPECIALTY HOSPITAL,6501 NORTH 19TH AVENUE,PHOENIX,MARICOPA,AZ,85015,6027956020,94,5,1,97,87,11,2,92,77,18,5,91,70,27,3,89,,1878,562,30,10/1/2017,9/30/2018
30112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,MARICOPA,AZ,85224,4806039000,98,2,0,99,92,7,1,96,86,12,2,95,88,11,1,95,,1319,362,27,10/1/2017,9/30/2018
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,MARICOPA,AZ,85209,4803586100,,,,,,,,,,,,,,,,,4,,,,,
30131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,MARICOPA,AZ,85008,6027977700,98,2,0,99,93,6,1,96,91,8,1,96,90,8,2,95,,1020,284,30,10/1/2017,9/30/2018
30137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,PIMA,AZ,85614,5203934710,,,,,,,,,,,,,,,,,4,,,,,
40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,JOHNSON,AR,72830,4797545454,,,,,,,,,,,,,,,,,4,,,,,
40014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,WHITE,AR,72143,5012783100,96,3,1,98,92,6,2,95,79,18,3,93,79,19,2,92,,1265,353,29,10/1/2017,9/30/2018
40015,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,POLK,AR,71953,4793946100,97,3,0,98,95,4,1,97,87,11,2,94,79,20,1,93,,609,198,33,10/1/2017,9/30/2018
40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,PULASKI,AR,72205,5016865000,93,6,1,96,89,9,2,93,79,15,6,91,80,15,5,91,,2004,474,24,10/1/2017,9/30/2018
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,BOONE,AR,72601,8704144000,,,,,,,,,,,,,,,,,4,,,,,
40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,GREENE,AR,72450,8702397000,,,,,,,,,,,,,,,,,4,,,,,
40069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,MISSISSIPPI,AR,72315,8708387300,,,,,,,,,,,,,,,,,4,,,,,
40071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,JEFFERSON,AR,71603,8705417100,,,,,,,,,,,,,,,,,4,,,,,
40118,NEA BAPTIST MEMORIAL HOSPITAL,4800 EAST JOHNSON AVENUE,JONESBORO,CRAIGHEAD,AR,72401,8709727000,97,2,1,98,91,7,2,94,90,9,1,96,91,7,2,96,,2598,617,24,10/1/2017,9/30/2018
40134,"ARKANSAS HEART HOSPITAL, LLC",1701 S SHACKLEFORD ROAD,LITTLE ROCK,PULASKI,AR,72211,5012197000,98,2,0,99,91,7,2,95,92,6,2,96,94,4,2,97,,2689,909,34,10/1/2017,9/30/2018
41313,OZARK HEALTH,2500 HIGHWAY 65 SOUTH,CLINTON,VAN BUREN,AR,72031,5017457000,97,3,0,98,92,7,1,95,80,16,4,93,86,12,2,95,,520,117,23,10/1/2017,9/30/2018
41328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,CHICOT,AR,71653,8702655351,97,3,0,98,94,6,0,97,90,7,3,96,83,14,3,93,2;3,250,49,20,10/1/2017,9/30/2018
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,ALAMEDA,CA,94545,5107826200,97,3,0,99,87,9,4,91,84,13,3,95,83,16,1,94,2,644,121,20,10/1/2017,9/30/2018
50006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,HUMBOLDT,CA,95501,7074458121,,,,,,,,,,,,,,,,,4,,,,,
50009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,NAPA,CA,94558,7072524411,,,,,,,,,,,,,,,,,4,,,,,
50013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,NAPA,CA,94574,7079633611,95,4,1,97,87,10,3,92,87,11,2,94,86,13,1,95,,1992,424,22,10/1/2017,9/30/2018
50039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,BUTTE,CA,95926,5303327300,,,,,,,,,,,,,,,,,4,,,,,
50045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,IMPERIAL,CA,92243,7603397100,96,3,1,98,92,6,2,95,84,13,3,93,77,18,5,89,,1563,346,22,10/1/2017,9/30/2018
50054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,RIVERSIDE,CA,92220,9518451121,,,,,,,,,,,,,,,,,4,,,,,
50063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,LOS ANGELES,CA,90027,2134133000,93,6,1,96,85,9,6,90,76,18,6,90,70,25,5,88,,1806,299,17,10/1/2017,9/30/2018
50067,OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,STANISLAUS,CA,95361,2098473011,,,,,,,,,,,,,,,,,4,,,,,
50069,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,ORANGE,CA,92868,7146339111,,,,,,,,,,,,,,,,,4,,,,,
50077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,SAN DIEGO,CA,92103,6192948111,96,3,1,98,89,8,3,93,81,15,4,93,79,18,3,91,2,3689,877,24,10/1/2017,9/30/2018
50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,LOS ANGELES,CA,90732,3108323311,96,4,0,98,90,7,3,94,82,15,3,92,77,20,3,91,,1313,318,24,10/1/2017,9/30/2018
50090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,SONOMA,CA,95476,7079355000,,,,,,,,,,,,,,,,,4,,,,,
50104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,LOS ANGELES,CA,90262,3109008900,87,10,3,92,81,12,7,87,68,21,11,86,65,24,11,83,,3141,362,12,10/1/2017,9/30/2018
50112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,LOS ANGELES,CA,90404,3103194000,96,3,1,98,91,7,2,94,86,12,2,94,87,10,3,94,,2372,562,24,10/1/2017,9/30/2018
50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,LOS ANGELES,CA,91406,8187826600,,,,,,,,,,,,,,,,,4,,,,,
50132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,LOS ANGELES,CA,91776,6262895454,91,8,1,95,83,12,5,89,74,20,6,90,75,20,5,89,,2139,268,16,10/1/2017,9/30/2018
50133,ADVENTIST HEALTH AND RIDEOUT,726 4TH ST,MARYSVILLE,YUBA,CA,95901,5307494300,96,4,0,98,87,10,3,92,70,26,4,90,58,37,5,84,,1251,274,22,10/1/2017,9/30/2018
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,MONTEREY,CA,93940,8316245311,,,,,,,,,,,,,,,,,4,,,,,
50153,O'CONNOR HOSPITAL,2105 FOREST AVENUE,SAN JOSE,SANTA CLARA,CA,95128,4089472500,93,6,1,96,89,9,2,93,71,23,6,90,73,25,2,90,,1699,316,19,10/1/2017,9/30/2018
50159,VENTURA COUNTY MEDICAL CENTER,300 HILLMONT AVENUE,VENTURA,VENTURA,CA,93003,8056526075,,,,,,,,,,,,,,,,,4,,,,,
50168,ST JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,ORANGE,CA,92835,7149923000,,,,,,,,,,,,,,,,,4,,,,,
50174,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,SONOMA,CA,95405,7075255300,,,,,,,,,,,,,,,,,4,,,,,
50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CONTRA COSTA,CA,94598,9259393000,93,5,2,95,76,17,7,85,73,17,10,89,77,16,7,90,3,275,76,28,10/1/2017,9/30/2018
50189,GEORGE L MEE MEMORIAL HOSPITAL,300 CANAL STREET,KING CITY,MONTEREY,CA,93930,8313856000,,,,,,,,,,,,,,,,,4,,,,,
50204,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,LOS ANGELES,CA,93552,6613825000,93,6,1,96,85,11,4,90,80,15,5,92,79,17,4,91,,887,242,27,10/1/2017,9/30/2018
50211,ALAMEDA HOSPITAL,2070 CLINTON AVENUE,ALAMEDA,ALAMEDA,CA,94501,5105223700,,,,,,,,,,,,,,,,,4,,,,,
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,ORANGE,CA,92663,9497644624,97,2,1,98,90,7,3,94,91,8,1,96,92,7,1,97,,3014,779,28,10/1/2017,9/30/2018
50226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,ANAHEIM,ORANGE,CA,92801,7147741450,95,4,1,97,87,10,3,92,80,16,4,92,84,14,2,94,,1499,367,26,10/1/2017,9/30/2018
50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA,BURBANK,LOS ANGELES,CA,91505,8188435111,96,4,0,98,87,9,4,91,84,13,3,94,86,12,2,94,,1866,413,22,10/1/2017,9/30/2018
53309,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,2801 ATLANTIC AVENUE,LONG BEACH,LOS ANGELES,CA,90806,5629338001,,,,,,,,,,,,,,,,,4,,,,,
50238,METHODIST HOSPITAL OF SOUTHERN CA,300 W HUNTINGTON DR,ARCADIA,LOS ANGELES,CA,91006,6264454441,96,4,0,98,88,10,2,93,88,11,1,95,85,14,1,95,,1414,329,23,10/1/2017,9/30/2018
50245,ARROWHEAD REGIONAL MEDICAL CENTER,400 NORTH PEPPER AVENUE,COLTON,SAN BERNARDINO,CA,92324,9095801000,93,6,1,96,88,9,3,93,77,18,5,91,75,21,4,89,,1941,272,14,10/1/2017,9/30/2018
50261,SIERRA VIEW MEDICAL CENTER,465 W PUTNAM AVE,PORTERVILLE,TULARE,CA,93257,5597841110,96,3,1,98,88,9,3,92,84,14,2,94,79,19,2,92,,2676,640,26,10/1/2017,9/30/2018
50262,RONALD REAGAN U C L A MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,LOS ANGELES,CA,90095,3108256301,96,4,0,98,91,8,1,95,87,11,2,95,86,11,3,94,,2445,658,27,10/1/2017,9/30/2018
50276,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,MARTINEZ,CONTRA COSTA,CA,94553,9253705000,94,5,1,97,89,9,2,93,81,14,5,92,79,19,2,92,,1438,318,22,10/1/2017,9/30/2018
