"Postal Code",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
85122,32.8795,-111.75735,1,place,,,"Casa Grande",AZ,,85122,US,"TIGER/Line® dataset from the US Census Bureau"
86409,35.247742,-114.040249,0.9,place,,,Kingman,AZ,,86409,US,"TIGER/Line® dataset from the US Census Bureau"
85755,32.452638,-110.97366,0.9,place,,,"Oro Valley",AZ,,85755,US,"TIGER/Line® dataset from the US Census Bureau"
85209,33.37545,-111.63867,0.7,place,,,Mesa,AZ,"Maricopa County",85209,US,"TIGER/Line® dataset from the US Census Bureau"
85140,33.32865,-111.583739,0.9,place,,,"Queen Creek",AZ,,85140,US,"TIGER/Line® dataset from the US Census Bureau"
85120,33.41505,-111.54958,1,place,,,"Apache Junction",AZ,,85120,US,"TIGER/Line® dataset from the US Census Bureau"
85147,33.07672,-111.7393,1,place,,,Sacaton,AZ,,85147,US,"TIGER/Line® dataset from the US Census Bureau"
92395,34.53611,-117.29116,1,place,,,Victorville,CA,,92395,US,"TIGER/Line® dataset from the US Census Bureau"
93636,36.857756,-119.852537,0.9,place,,,Madera,CA,,93636,US,"TIGER/Line® dataset from the US Census Bureau"
80113,39.644445,-104.965111,0.7,place,,,Englewood,CO,"Arapahoe County",80113,US,"TIGER/Line® dataset from the US Census Bureau"
80023,39.975858,-105.009387,0.7,place,,,Broomfield,CO,"Adams County",80023,US,"TIGER/Line® dataset from the US Census Bureau"
39828,30.878687,-84.204841,0.9,place,,,Cairo,GA,"Grady County",39828,US,"TIGER/Line® dataset from the US Census Bureau"
39819,30.90454,-84.572282,0.9,place,,,Bainbridge,GA,"Decatur County",39819,US,"TIGER/Line® dataset from the US Census Bureau"
39845,31.04046,-84.87909,1,place,,,Donalsonville,GA,,39845,US,"TIGER/Line® dataset from the US Census Bureau"
39840,31.77127,-84.78937,1,place,,,Cuthbert,GA,,39840,US,"TIGER/Line® dataset from the US Census Bureau"
39837,31.17129,-84.73325,1,place,,,Colquitt,GA,,39837,US,"TIGER/Line® dataset from the US Census Bureau"
39823,31.37768,-84.93409,1,place,,,Blakely,GA,,39823,US,"TIGER/Line® dataset from the US Census Bureau"
60169,42.04281,-88.0798,1,place,,,"Hoffman Estates",IL,,60169,US,"TIGER/Line® dataset from the US Census Bureau"
46037,39.95987,-85.947942,0.9,place,,,Fishers,IN,,46037,US,"TIGER/Line® dataset from the US Census Bureau"
48033,42.459322,-83.293205,0.7,place,,,Southfield,MI,"Oakland County",48033,US,"TIGER/Line® dataset from the US Census Bureau"
49519,42.895737,-85.718265,0.7,place,,,Wyoming,MI,"Kent County",49519,US,"TIGER/Line® dataset from the US Census Bureau"
63368,38.7695,-90.72902,1,place,,,"O Fallon",MO,,63368,US,"TIGER/Line® dataset from the US Census Bureau"
10065,40.764584,-73.963013,0.7,place,,,"New York",NY,"Bronx County",10065,US,"TIGER/Line® dataset from the US Census Bureau"
97471,43.16039,-123.36785,1,place,,,Roseburg,OR,,97471,US,"TIGER/Line® dataset from the US Census Bureau"
23114,37.460988,-77.655426,0.7,place,,,Midlothian,VA,,23114,US,"TIGER/Line® dataset from the US Census Bureau"
53548,42.682455,-89.051926,0.9,place,,,Janesville,WI,,53548,US,"TIGER/Line® dataset from the US Census Bureau"
96913,13.444257,144.786297,1,place,,,Barrigada,GU,Guam,96913,US,"TIGER/Line® dataset from the US Census Bureau"
96929,13.444257,144.786297,1,place,,,Yigo,GU,Guam,96929,US,"TIGER/Line® dataset from the US Census Bureau"
96950,15.190135,145.740804,1,place,,,Saipan,MP,"Saipan Municipality",96950,US,"TIGER/Line® dataset from the US Census Bureau"
