,City,Daylight savings time flag,Latitude,Longitude,State,Timezone,Zip,geopoint
0,Leland,1.0,45.023384,-85.75697,MI,-5.0,49654,"45.023384,-85.75697"
1,Lake Mills,1.0,43.418877,-93.52078,IA,-6.0,50450,"43.418877,-93.52078"
2,Unionville,1.0,40.833045,-92.6867,IA,-6.0,52594,"40.833045,-92.6867"
3,Green Bay,1.0,44.460064,-88.00738199999999,WI,-6.0,54307,"44.460064,-88.007382"
4,Barron,1.0,45.397009999999995,-91.86336999999999,WI,-6.0,54812,"45.39701,-91.86337"
5,Cedar,1.0,45.335128000000005,-93.27434000000001,MN,-6.0,55011,"45.335128,-93.27434"
6,Young America,1.0,44.805487,-93.766524,MN,-6.0,55564,"44.805487,-93.766524"
7,Glenville,1.0,43.550746999999994,-93.21987,MN,-6.0,56036,"43.550747,-93.21987"
8,Jasper,1.0,43.854184000000004,-96.39022,MN,-6.0,56144,"43.854184,-96.39022"
9,Puposky,1.0,47.750406,-94.91254,MN,-6.0,56667,"47.750406,-94.91254"
10,Paducah,1.0,37.066542999999996,-88.65687,KY,-6.0,42001,"37.066543,-88.65687"
11,Luckey,1.0,41.455078,-83.47735,OH,-5.0,43443,"41.455078,-83.47735"
12,Whitleyville,1.0,36.456113,-85.72381,TN,-6.0,38588,"36.456113,-85.72381"
13,Glenview,1.0,38.309597,-85.643359,KY,-5.0,40025,"38.309597,-85.643359"
14,Lehigh Acres,1.0,26.605990000000002,-81.70296,FL,-5.0,33971,"26.60599,-81.70296"
15,Winter Garden,1.0,28.536794,-81.59344,FL,-5.0,34787,"28.536794,-81.59344"
16,Birmingham,1.0,33.544622,-86.929208,AL,-6.0,35293,"33.544622,-86.929208"
17,Bumpus Mills,1.0,36.633539,-87.86841,TN,-6.0,37028,"36.633539,-87.86841"
18,Broad Top,1.0,40.211299,-78.13,PA,-5.0,16621,"40.211299,-78.13"
19,Franklin,1.0,35.117298999999996,-83.295244,NC,-5.0,28744,"35.117299,-83.295244"
20,Pleasantville,1.0,41.119008,-73.732996,NY,-5.0,10572,"41.119008,-73.732996"
21,Port Washington,1.0,40.754757,-73.601772,NY,-5.0,11054,"40.754757,-73.601772"
22,Sunnyside,1.0,40.743796,-73.91949,NY,-5.0,11104,"40.743796,-73.91949"
23,East Marion,1.0,41.128923,-72.34189,NY,-5.0,11939,"41.128923,-72.34189"
24,Bridgeport,1.0,43.164297,-75.96056999999999,NY,-5.0,13030,"43.164297,-75.96057"
25,Ringgold,1.0,36.595244,-79.28647,VA,-5.0,24586,"36.595244,-79.28647"
26,Bandy,1.0,37.170062,-81.64412,VA,-5.0,24602,"37.170062,-81.64412"
27,Felton,1.0,39.011387,-75.58978,DE,-5.0,19943,"39.011387,-75.58978"
28,Aldie,1.0,38.964054,-77.60878000000001,VA,-5.0,20105,"38.964054,-77.60878"
29,Gaithersburg,1.0,39.229652,-77.1594,MD,-5.0,20882,"39.229652,-77.1594"
30,Cockeysville,1.0,39.477506,-76.64114000000002,MD,-5.0,21030,"39.477506,-76.64114"
31,Somes Bar,1.0,41.455226,-123.47671000000001,CA,-8.0,95568,"41.455226,-123.47671"
32,Pearl City,0.0,21.408333,-157.9669,HI,-10.0,96782,"21.408333,-157.9669"
33,Antelope,1.0,44.904051,-120.67244,OR,-8.0,97001,"44.904051,-120.67244"
34,Lytle Creek,1.0,34.229288000000004,-117.52082,CA,-8.0,92358,"34.229288,-117.52082"
35,Lake Elsinore,1.0,33.752886,-116.055617,CA,-8.0,92531,"33.752886,-116.055617"
36,Cave Junction,1.0,42.139958,-123.60245,OR,-8.0,97523,"42.139958,-123.60245"
37,Napavine,1.0,46.580104999999996,-122.90699,WA,-8.0,98565,"46.580105,-122.90699"
38,Columbus,1.0,31.823645000000003,-107.73528999999999,NM,-7.0,88029,"31.823645,-107.73529"
39,Warwick,1.0,41.706814,-71.3911,RI,-5.0,2889,"41.706814,-71.3911"
40,Hooksett,1.0,43.058785,-71.44412,NH,-5.0,3106,"43.058785,-71.44412"
41,Coamo,0.0,18.092813,-66.3611,PR,-4.0,769,"18.092813,-66.3611"
42,Somonauk,1.0,41.645998,-88.69,IL,-6.0,60552,"41.645998,-88.69"
43,Bryant,1.0,40.466397,-90.09631999999999,IL,-6.0,61519,"40.466397,-90.09632"
44,Liberty,1.0,39.246179,-94.41763,MO,-6.0,64068,"39.246179,-94.41763"
45,Amarillo,1.0,35.157403,-101.86114,TX,-6.0,79110,"35.157403,-101.86114"
46,Aurora,1.0,39.739387,-104.8621,CO,-7.0,80010,"39.739387,-104.8621"
47,Boutte,1.0,29.900075,-90.38655,LA,-6.0,70039,"29.900075,-90.38655"
48,Franklinton,1.0,30.844465000000003,-90.12066,LA,-6.0,70438,"30.844465,-90.12066"
49,Lamar,1.0,35.470638,-93.36041999999999,AR,-6.0,72846,"35.470638,-93.36042"
50,Tucson,0.0,32.240625,-110.94791000000001,AZ,-7.0,85719,"32.240625,-110.94791"
51,Three Forks,1.0,45.899881,-111.53143,MT,-7.0,59752,"45.899881,-111.53143"
52,Bucklin,1.0,37.523175,-99.63435,KS,-6.0,67834,"37.523175,-99.63435"
53,Oconto,1.0,41.146805,-99.77117,NE,-6.0,68860,"41.146805,-99.77117"
54,Amoret,1.0,38.266148,-94.55686,MO,-6.0,64722,"38.266148,-94.55686"
