Provider ID,Hospital name,State,ZIP Code,Latitude,Longitude,Review Score,Hip and Knee Replacement Score,Hip and Knee Replacement Lower,Hip and Knee Replacement Upper,Heart Failure Death Score,Heart Failure Death Lower,Heart Failure Death Upper,Blood clots post surgery Score,Blood clots post surgery Lower,Blood clots post surgery Upper,Heart Attack Death Score,Heart Attack Death Lower,Heart Attack Death Upper,Post surgery Sepsis Score,Post surgery Sepsis Lower,Post surgery Sepsis Upper,Postop Respiratory Failure Score,Postop Respiratory Failure Lower,Postop Respiratory Failure Upper,Postop Dialysis need Score,Postop Dialysis need Lower,Postop Dialysis need Upper,Surgical Complication Deaths Score,Surgical Complication Deaths Lower,Surgical Complication Deaths Upper,Pneumonia death Score,Pneumonia death Lower,Pneumonia death Upper,Stroke death Score,Stroke death Lower,Stroke death Upper,Review Score Transformed,Mortality transformed,Complications transformed
010001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,36301,31.214058,-85.361725,0.0,0.7811679806734041,2.0,4.6,0.42217904568483855,10.5,14.7,1.920945464107273,3.93,7.21,1.0831900505836976,12.3,17.1,-0.7094608856188241,1.8,7.1,6.02,1.86,10.17,-2.1147661858500224,0,1.68,161.31,123.47,199.15,0.19718386313457983,13.7,19.2,-0.38644395642261964,11.5,16.5,0.0,-0.3290272507451241,0.030528406672042374
010005,MARSHALL MEDICAL CENTER SOUTH,AL,35957,34.22056,-86.159217,94.0,0.7811679806734041,2.0,4.5,2.0499775757125023,12.3,19.0,-0.7007625412992075,0.81,5.53,1.9034071397662646,12.0,19.7,-0.011182700910340062,1.72,8.67,12.17,5.95,18.39,-0.6678894305795516,0,2.45,181.81,135.73,227.9,2.511488950975987,18.2,23.8,0.9252563696220769,12.4,19.6,0.41968539624359064,-1.8475325090192076,0.14966667302892375
010006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,35631,34.79366,-87.684348,0.0,1.9434506040561694,2.4,5.2,0.8291286781917541,11.1,15.6,-0.5478295743171626,1.32,5.29,1.4112768862567246,12.3,17.9,-0.2439420958131681,1.07,8.82,7.19,0,15.23,-0.08913872847136368,0,2.73,181.42,141.18,221.67,0.7002936648392334,14.9,19.7,1.9090316141555994,14.2,20.7,0.0,-1.2124327108608277,-0.26563505136361876
010007,MIZELL MEMORIAL HOSPITAL,AL,36467,31.291972,-86.255415,0.0,0.3937404395458154,1.5,4.9,0.8872643399784571,9.1,18.6,1.0361190122825854,1.87,7.64,0.0,0,0,-0.09497608307535803,1.17,9.05,9.46,1.37,17.55,-0.024833094903787163,0,2.76,0,0,0,2.9139767923397097,17.0,26.7,1.0564264022265473,11.7,21.4,0.0,-1.2144168836361784,-0.3275125684623139
010008,CRENSHAW COMMUNITY HOSPITAL,AL,36049,31.692595,-86.26615600000002,95.0,0.0,0,0,0.6547216928316478,8.8,18.8,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,-0.05437103771774693,11.7,21.1,0.0,0,0,0.8108148789283381,-0.1500876637784752,-0.0
010011,ST VINCENT'S EAST,AL,35235,33.595351,-86.665182,0.0,0.006312898418227551,1.6,4.3,0.7709930164050519,10.7,16.0,0.7848719950977983,2.45,6.62,0.7551032149106705,11.2,17.5,0.3333012035458455,2.47,8.66,15.22,9.79,20.64,1.389890843582895,0.54,2.94,191.56,153.77,229.35,0.14687288296411555,13.6,19.0,-1.2390491683516718,9.5,16.2,0.0,-0.10847998648204155,-0.6285942351611915
010012,DEKALB REGIONAL MEDICAL CENTER,AL,35968,34.551152,-85.738662,0.0,0.0,0,0,1.1779426489119684,10.1,18.6,-0.4604393074702799,0.59,6.18,2.313515684357548,12.4,20.2,0.24019744558471381,1.67,9.26,7.69,0.42,14.96,-0.1534443620389402,0,2.7,0,0,0,3.0649097328511044,18.2,26.0,0.5317462718086682,11.5,19.8,0.0,-1.7720285844823223,0.09342155598112657
010016,SHELBY BAPTIST MEDICAL CENTER,AL,35007,33.253679,-86.814261,0.0,-0.768542183836949,1.4,3.9,0.8291286781917541,10.6,16.2,-0.5041344408937213,1.27,5.43,2.313515684357548,12.9,19.7,2.1767556111762434,4.55,10.55,7.87,2.9,12.83,2.579545064583059,0.89,3.33,156.58,112.28,200.89,0.29780582347551016,13.4,19.7,-0.2552739238181493,10.7,17.7,0.0,-0.7962940655516658,-0.870906012757158
010018,CALLAHAN EYE HOSPITAL,AL,35233,33.503137,-86.802401,0.0,0.0,0,0,0.0,0,0,-0.04533553994758734,0.83,6.72,0.0,0,0,-0.0856657072792451,1.18,9.06,7.46,0,15.65,0.0073197218800010976,0,2.78,0,0,0,0.0,0,0,0.0,0,0,0.0,-0.0,0.03092038133670784
010019,HELEN KELLER MEMORIAL HOSPITAL,AL,35660,34.748249,-87.69886600000002,93.0,-0.9622559544007434,1.3,3.2,1.2360783106986706,11.0,17.3,-0.952009558483995,0.52,5.36,0.7551032149106705,10.7,18.4,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.19718386313457983,13.2,19.7,0.9252563696220769,12.0,20.5,0.028555913558843123,-0.7784054395914994,0.47856637822118464
